date_inscription,date_realisation,proposition_cours,participant,duree,etat
2016-10-16      ,2016-10-17      ,1                ,1010       ,1    ,1
2015-12-31      ,2016-01-01      ,2                ,1084       ,2    ,1
2015-07-06      ,2015-07-07      ,3                ,1011       ,2    ,1
2015-07-24      ,2015-07-25      ,4                ,1021       ,3    ,1
2016-07-24      ,2016-07-25      ,5                ,1026       ,2    ,1
2017-01-09      ,2017-01-10      ,6                ,1032       ,1    ,1
2016-03-24      ,2016-03-25      ,7                ,1026       ,2    ,1
2016-01-19      ,2016-01-20      ,8                ,1006       ,2    ,1
2015-09-20      ,2015-09-21      ,9                ,1095       ,3    ,1
2014-09-10      ,2014-09-11      ,10               ,1014       ,1    ,1
2016-06-05      ,2016-06-06      ,11               ,1036       ,1    ,1
2015-07-22      ,2015-07-23      ,12               ,1057       ,1    ,1
2016-03-16      ,2016-03-17      ,13               ,1026       ,2    ,1
2015-11-27      ,2015-11-28      ,14               ,1072       ,2    ,1
2016-06-20      ,2016-06-21      ,15               ,1074       ,2    ,1
2016-03-14      ,2016-03-15      ,16               ,1063       ,1    ,1
2015-05-03      ,2015-05-04      ,17               ,1098       ,2    ,1
2017-03-01      ,2017-03-02      ,18               ,1072       ,2    ,1
2016-11-25      ,2016-11-26      ,19               ,1038       ,3    ,1
2014-12-13      ,2014-12-14      ,20               ,1073       ,3    ,1
2014-04-27      ,2014-04-28      ,21               ,1075       ,2    ,1
2016-04-21      ,2016-04-22      ,22               ,1012       ,1    ,1
2014-09-12      ,2014-09-13      ,23               ,1073       ,1    ,1
2014-12-29      ,2014-12-30      ,24               ,1086       ,1    ,1
2014-09-29      ,2014-09-30      ,25               ,1067       ,3    ,1
2014-08-15      ,2014-08-16      ,26               ,1043       ,2    ,1
2015-04-24      ,2015-04-25      ,27               ,1070       ,2    ,1
2015-03-08      ,2015-03-09      ,28               ,1095       ,1    ,1
2015-10-15      ,2015-10-16      ,29               ,1026       ,2    ,1
2016-06-29      ,2016-06-30      ,30               ,1085       ,1    ,1
2014-12-19      ,2014-12-20      ,31               ,1006       ,3    ,1
2014-06-13      ,2014-06-14      ,32               ,1012       ,2    ,1
2016-03-29      ,2016-03-30      ,33               ,1009       ,1    ,1
2014-12-30      ,2014-12-31      ,34               ,1098       ,2    ,1
2017-01-09      ,2017-01-10      ,35               ,1089       ,2    ,1
2017-02-04      ,2017-02-05      ,36               ,1039       ,2    ,1
2014-07-16      ,2014-07-17      ,37               ,1060       ,2    ,1
2014-09-02      ,2014-09-03      ,38               ,1010       ,3    ,1
2015-08-12      ,2015-08-13      ,39               ,1080       ,1    ,1
2014-11-30      ,2014-12-01      ,40               ,1019       ,3    ,1
2016-08-31      ,2016-09-01      ,41               ,1031       ,3    ,1
2015-09-02      ,2015-09-03      ,42               ,1093       ,1    ,1
2016-11-13      ,2016-11-14      ,43               ,1088       ,2    ,1
2015-03-22      ,2015-03-23      ,44               ,1007       ,1    ,1
2015-06-01      ,2015-06-02      ,45               ,1069       ,1    ,1
2016-10-09      ,2016-10-10      ,46               ,1036       ,2    ,1
2016-01-25      ,2016-01-26      ,47               ,1022       ,3    ,1
2016-06-30      ,2016-07-01      ,48               ,1083       ,1    ,1
2016-11-30      ,2016-12-01      ,49               ,1073       ,3    ,1
2015-06-04      ,2015-06-05      ,50               ,1083       ,1    ,1
2014-05-20      ,2014-05-21      ,51               ,1007       ,3    ,1
2016-10-13      ,2016-10-14      ,52               ,1024       ,3    ,1
2015-09-22      ,2015-09-23      ,53               ,1095       ,3    ,1
2014-04-27      ,2014-04-28      ,54               ,1089       ,1    ,1
2014-05-27      ,2014-05-28      ,55               ,1068       ,3    ,1
2016-06-06      ,2016-06-07      ,56               ,1071       ,3    ,1
2017-02-04      ,2017-02-05      ,57               ,1043       ,3    ,1
2016-10-10      ,2016-10-11      ,58               ,1074       ,3    ,1
2015-06-28      ,2015-06-29      ,59               ,1012       ,2    ,1
2014-10-18      ,2014-10-19      ,60               ,1009       ,1    ,1
2014-04-21      ,2014-04-22      ,61               ,1075       ,1    ,1
2014-11-24      ,2014-11-25      ,62               ,1053       ,1    ,1
2015-11-29      ,2015-11-30      ,63               ,1044       ,1    ,1
2016-08-24      ,2016-08-25      ,64               ,1057       ,1    ,1
2015-01-23      ,2015-01-24      ,65               ,1001       ,1    ,1
2014-12-06      ,2014-12-07      ,66               ,1007       ,2    ,1
2016-11-15      ,2016-11-16      ,67               ,1094       ,3    ,1
2016-05-05      ,2016-05-06      ,68               ,1089       ,1    ,1
2014-02-14      ,2014-02-15      ,69               ,1051       ,3    ,1
2014-10-18      ,2014-10-19      ,70               ,1030       ,2    ,1
2016-05-21      ,2016-05-22      ,71               ,1078       ,3    ,1
2015-01-07      ,2015-01-08      ,72               ,1094       ,3    ,1
2015-11-25      ,2015-11-26      ,73               ,1026       ,3    ,1
2014-12-22      ,2014-12-23      ,74               ,1078       ,3    ,1
2015-01-02      ,2015-01-03      ,75               ,1097       ,2    ,1
2015-12-11      ,2015-12-12      ,76               ,1032       ,1    ,1
2015-10-01      ,2015-10-02      ,77               ,1037       ,1    ,1
2016-05-11      ,2016-05-12      ,78               ,1046       ,3    ,1
2016-01-30      ,2016-01-31      ,79               ,1081       ,1    ,1
2014-12-13      ,2014-12-14      ,80               ,1096       ,1    ,1
2014-07-30      ,2014-07-31      ,81               ,1079       ,1    ,1
2016-08-13      ,2016-08-14      ,82               ,1097       ,3    ,1
